,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,VisionClientID,EpicorCustomerID,ClientNumber,Name,Type,Status,WebSite,Memo,CurrentStatus,ClientInd,VendorInd,LinkedVendor,VisionClientAddressID,AddressDescription,Address2,Address3,Address4,City,State,Zip,Country,Phone,FAX,GoogleAddress,GooglePhone,googleExtras,googled
0,0,0,0,0,0,ADMIN486509637867,URSAUS40,50,URS Australia,,A,,,Existing,Y,N,,3F4D720C-72BB-4C6B-9274-B82F37390C9E,Default,70 Light Square,,,Adelaide,SA,5000,AU,,,"Address: 27, Westpac House, 91 King William St, Adelaide SA 5000",Phone:(08) 8366 1000, | See outside | URS Australia Pty Ltd | Engineering Consultant,True
1,1,1,1,1,1,ADMIN486509637868,SANOSL40,177,Santos Limited,,A,,,Existing,Y,N,,ACF1B7E8-1F90-474B-91AC-717B7191141F,Default,,,,Adelaide,SA,5001,AU,,,"Address: Ground, 60 Flinders Street, Adelaide SA 5000",Phone:(08) 8116 5000, | See outside | Santos | Corporate Office | 1 Google review | View 5+ | Origin Energy Power | Beach Energy | Westpac Branch/ATM,True
2,2,2,2,2,2,ADMIN486509637869,HANSEN40,351,Hansen Yuncken,,A,,,Existing,Y,N,,F0C7CDBC-FE60-4B78-A61B-1CBC6522182E,Default,,,,Adelaide,SA,,AU,419811128,,"Address: 1/191 Fullarton Road, Dulwich SA 5065",Phone:(08) 8229 7300, | See outside | Hansen Yuncken Pty Ltd. | Corporate Campus,True
3,3,3,3,3,3,ADMIN486509637870,HASSEL40,353,Hassell,,A,,,Existing,Y,N,,EA874787-F0F2-4E68-8CBE-0EE8D23ED5EE,Default,70 Hindmarsh Square,,,Adelaide,SA,5000,AU,,,"Address: 70 Hindmarsh Square, Adelaide SA 5000",Phone:(08) 8220 5000, | See outside | Hassell | Architect | Woods Bagot | The Royal Australian Institute of Architects | Hames Sharley,True
4,4,4,4,4,4,ADMIN486509637871,COMMER40,437,Commercial & General,,A,,,Existing,Y,N,,C1B73B11-0ADE-4098-8FA0-39F80CF73ADD,Default,,,,Adelaide,SA,,AU,882123339,,,,,True
5,5,5,5,5,5,ADMIN486509637872,PHILLI40,612,Barry Philis & Associates,,A,,,Existing,Y,N,,39B922AB-39CD-433F-9AFA-FD5BEC04FB04,Default,66 Wyatt Street,,,Adelaide,SA,5000,AU,419864502,,,,,True
6,6,6,6,6,6,ADMIN486509637873,ADELAI20,615,Adelaide Bank,,A,,,Existing,Y,N,,CFB07617-C5BA-49A2-B2CE-1EB69BA0361E,Default,,,,Adelaide,SA,5001,AU,,,,,,True
7,7,7,7,7,7,ADMIN486509637874,UNIADE20,678,University of Adelaide - IPAS,,A,,,Existing,Y,N,,3435F051-4648-4C0F-831C-A9966786C9A9,Default,11-19 Grenfell Street,,,Adelaide,SA,5000,AU,,,Address: Adelaide SA 5005,Phone:(08) 8313 5208, | See outside | The University of Adelaide | 4.6 | 63 Google reviews | University | Multi-disciplinary university with a number of oenology courses at the National Wine Centre. | 63 Google reviews | University of South Australia | University of Adelaide - Medical School | SATAC,True
8,8,8,8,8,8,ADMIN486509637875,BUILTE20,709,Built Environs,,A,,,Existing,Y,N,,239FA639-D2CE-4C2E-B4BA-3D9C13F7E2C7,Default,Hutt Street,,,Adelaide,SA,5000,AU,882321882,,"Address: 100 Hutt St, Adelaide SA 5000",Phone:(08) 8232 1882, | See outside | Built Environs Pty Ltd | Construction Company | Bonython Hall | Sarah Constructions PTY Ltd. | SATAC,True
9,9,9,9,9,9,ADMIN486509637876,PRIMES10,929,Prime Space Projects,,A,,,Existing,Y,N,,07854290-7657-45FB-A803-38C2FFA7F9B4,Default,150 Grenfell Street,,,Adelaide,SA,5000,AU,882236535,,"Address: 3/150 Grenfell St, Adelaide SA 5000",Phone:(08) 8223 6535, | See outside | Prime Space Projects PTY Ltd. | Property Management Company | Wilson Parking | Leedwell Property | CBRE,True
