"ID","ISDELETED","MASTERRECORDID","NAME","PARENTID","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGADDRESS","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGADDRESS","PHONE","FAX","WEBSITE","PHOTOURL","DESCRIPTION","SITE","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","JIGSAWCOMPANYID","BVN_TYPE__C","BVN_INDUSTRY__C"
"00120000006HlLmAAK","false","","Victoria Association of Forrest Industries","","Level 6
50 Market Street","Melbourne","VIC","3000","","","","","Level 6
50 Market Street","Melbourne","VIC","3000","","","","","03 9611 9000","03 9611 9011","www.vafi.org.au","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:51.000Z","00520000000sqhLAAQ","2008-06-20T05:33:40.000Z","00520000000xQUYAA2","2008-06-20T05:33:40.000Z","","","","","",""
"00120000006HlLnAAK","false","","Damian Abrahrams Legal Counsel","","12 Harwood Street","Brighton","VIC","3186","","","","","12 Harwood Street","Brighton","VIC","3186","","","","","03 9530 8208","03 9530 8508","","","No website","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:51.000Z","00520000000sqhLAAQ","2009-05-25T00:20:25.000Z","00520000000wb76AAA","2009-05-25T00:20:25.000Z","","","","","Business consultant","Legal"
"00120000006HlLoAAK","false","","City of Melbourne","001D000000rO0lXIAS","PO Box 1603","Melbourne","VIC","3001","","","","","Town Hall
90-120 Swanston Street","Melbourne","VIC","3000","","","","","03 9658 9658","03 9654 4854","www.melbourne.vic.gov.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-13T04:46:41.000Z","005D0000001bXCwIAM","2012-06-13T04:46:41.000Z","","","","","Local government","Government"
"00120000006HlLpAAK","false","","ANZ","001D000000oINCsIAO","Level 20
100 Queen Street","Melbourne","VIC","3000","","","","","Level 20,
100 Queen Street","Melbourne","VIC","3000","","","","","03 9273 5555","","www.anz.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-03-06T05:45:38.000Z","005D0000001bXCwIAM","2012-03-06T05:45:38.000Z","2008-07-29","","","","","Finance"
"00120000006HlLqAAK","false","","Stockland","001D000000ru5qhIAA","Level 7
452 Flinders Street","Melbourne","VIC","3000","","","","","Level 7
452 Flinders Street","Melbourne","VIC","3000","","","","","03 9095 5000","03 8684 5000","www.stockland.com.au","","","Melbourne","005D0000001aGzhIAE","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-19T23:40:55.000Z","005D0000001bPy2IAE","2012-06-19T23:40:55.000Z","","","","","Property Developer/Owner","Property"
"00120000006HlLsAAK","false","","Places Victoria","","GPO Box 2428","Melbourne","VIC","3001","","","","","Goods Shed North
710 Collins Street","Docklands","VIC","3008","","","","","03 8317 3400","03 8317 3666","www.vicurban.com.au","","Name change from VicUrban to Places Victoria November 2011.","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-04-03T03:46:22.000Z","005D0000001aGzhIAE","2012-04-30T00:14:52.000Z","","","","","Client;State government","Government"
"00120000006HlLtAAK","false","","Property Council of Australia","001D000000rtxFkIAI","Level 7
136 Exhibition Street","Melbourne","VIC","3000","","","","","Level 7
136 Exhibition Street","Melbourne","VIC","3000","","","","","03 9650 8300","03 9650 8693","www.propertyoz.com.au","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-19T06:23:24.000Z","005D0000001bPy2IAE","2012-06-19T06:23:24.000Z","","","","","Professional Association","Property"
"00120000006HlLuAAK","false","","Santos Ltd","","GPO Box 2455","Adelaide","SA","5000","","","","","Ground Floor
60 Flinders Street","Adelaide","SA","5000","","","","","08 8116 5000","08 8116 5050","www.santos.com","","","Adelaide","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2008-08-05T04:50:04.000Z","00520000000xgBtAAI","2008-08-05T04:50:04.000Z","","","","","Client","Resources"
"00120000006HlLvAAK","false","","Spotless","","350 Queen Street","Melbourne","VIC","3000","","","","","350 Queen Street","Melbourne","VIC","3000","","","","","03 9269 7600","03 9269 7603","www.spotless.com.au","","","Melbourne (Head Office)","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2008-05-26T00:20:11.000Z","00520000000xQUYAA2","2008-05-26T00:20:11.000Z","","","","","",""
"00120000006HlLwAAK","false","","DEGW Asia Pacific Pty Ltd","00120000006HlMCAA0","Level 2, 37-41 Little Bourke Street","Melbourne","VIC","3000","","","","","Level 2, 37-41 Little Bourke Street","Melbourne","VIC","3000","","","","","03 8610 3444","03 9629 5055","www.degw.com","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2009-10-21T06:00:33.000Z","00520000000zWmAAAU","2009-10-21T06:00:33.000Z","","","","","",""
"00120000006HlLxAAK","false","","Omnii Pty Ltd","","Level 2
405 Ltl Bourke Street","Melbourne","VIC","3000","","","","","Level 2
405 Ltl Bourke Street","Melbourne","VIC","3000","","","","","03 9602 5533","03 9670 1433","www.omnii.com.au","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2008-05-21T05:00:36.000Z","00520000000xQUYAA2","2008-05-21T05:00:36.000Z","","","","","",""
"00120000006HlLyAAK","false","","Aurecon","001D000000oIN1jIAG","Level 12
60 Albert Road","South Melbourne","VIC","3205","","","","","Level 12
60 Albert Road","South Melbourne","VIC","3205","","","","","03 8683 1333","03 8683 1444","http://www.aurecon.com.au/","","Formerly Connell Wagner","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-03-06T02:37:05.000Z","005D0000001bIi2IAE","2012-03-06T02:37:05.000Z","2008-05-09","","","","Project consultant","Property"
"00120000006HlM0AAK","false","","Building Commission & Plumbing Industry Commission (Vic)","001D000000rR6pDIAS","PO Box 536","Melbourne","VIC","3001","","","","","Goods Shed North
733 Bourke Street","Docklands","VIC","3008","","","","","1300 815 127","03 9618 9062","www.buildingcommission.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-06T01:03:37.000Z","005D0000001bXCwIAM","2012-06-06T01:03:37.000Z","","","","","Client","Authorities;Property"
"00120000006HlM1AAK","false","","Thinc Projects","001D000000ru5uUIAQ","Level 9
136 Exhibition Street","Melbourne","VIC","3000","","","","","Level 9
136 Exhibition Street","Melbourne","VIC","3000","","","","","03 9654 6799","03 9654 7356","http://www.thincprojects.com","","","Melbourne","00520000000wb6mAAA","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-20T01:11:27.000Z","005D0000001bPy2IAE","2012-06-20T01:11:27.000Z","","","","","Project Manager","Architecture and Design;Property"
"00120000006HlM2AAK","false","","Lend Lease Project Management and Construction","001D000000rOo1vIAC","Locked Bag 1","Millers Point","NSW","2000","","","","","Level 4, 30 The Bond
30 Hickson Road","Millers Point","NSW","2000","","","","","02 9236 6111","02 9383 8086","www.lendlease.com","","","Sydney","005D0000001bIi2IAE","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2013-09-12T03:55:39.000Z","005D0000002EqAjIAK","2013-09-12T03:55:39.000Z","","","","","Client;Construction Company;Project Manager;Property Developer/Owner","Property"
"00120000006HlM4AAK","false","","Austrade","001D000000oJY2oIAG","Minter Ellison Building
2nd Floor
25 National Circuit","Forrest","ACT","2603","","","","","Minter Ellison Building
2nd Floor
25 National Circuit","Forrest","ACT","2603","","","","","02 6201 7354","02 6201 7312","www.austrade.gov.au","","","Canberra","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-03-13T04:55:42.000Z","005D0000001bXCwIAM","2012-03-13T04:55:42.000Z","","","","","Federal government","Government"
"00120000006HlM5AAK","false","","Myer","","800 Collins Street","Victoria Harbour","VIC","3008","","","","","","","","","","","","","03 8667 6800","","www.myer.com.au","","","Melbourne","005D0000001aGzhIAE","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2011-08-15T06:45:29.000Z","005D0000001aGzhIAE","2011-08-15T06:45:29.000Z","","","","","Client","Retail"
"00120000006HlM6AAK","false","","Australian Red Cross Blood Service","001D000000oJY3dIAG","Level 6
464 St Kilda Road","Melbourne","VIC","3004","","","","","Level 6
464 St Kilda Road","Melbourne","VIC","3004","","","","","13 14 95","","www.donateblood.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-03-13T05:07:58.000Z","005D0000001bXCwIAM","2012-03-13T05:07:58.000Z","","","","","Personal contact","Health"
"00120000006HlM7AAK","false","","Baker & McKenzie","001D000000oJY3nIAG","Level 19
181 William Street","Melbourne","VIC","3000","","","","","Level 19
181 William Street","Melbourne","VIC","3000","","","","","03 9617 4200","03 9614 2103","www.bakernet.com","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-03-13T05:24:47.000Z","005D0000001bXCwIAM","2012-03-13T05:24:47.000Z","","","","","Client","Legal"
"00120000006HlM8AAK","false","","Waterman AHW (Vic) Pty Ltd","","60 Park Street","South Melbourne","VIC","3205","","","","","60 Park Street","South Melbourne","VIC","3205","","","","","03 9685 9900","03 9685 9999","www.wahwvic.com.au","","","Melbourne","005D0000001aGzhIAE","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-04-03T04:33:20.000Z","005D0000001aGzhIAE","2012-04-03T04:33:20.000Z","","","","","",""
"00120000006HlM9AAK","false","","Virgin Active Central","","Level 13
2 Bulletin Place","Sydney","NSW","2000","","","","","Level 13
2 Bulletin Place","Sydney","NSW","2000","","","","","02 8241 2109","02 9251 1598","www.virgin.com.au","","","Sydney","005D0000001bXCwIAM","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-10-17T05:49:11.000Z","005D0000001aGzhIAE","2012-10-17T05:49:11.000Z","","","","","Client","Health;Sport"
"00120000006HlMAAA0","false","","Jones Lang LaSalle","001D000000rtx27IAA","Level 21
Bourke Place
600 Bourke Street","Melbourne","VIC","3000","","","","","Level 21
Bourke Place
600 Bourke Street","Melbourne","VIC","3000","","","","","03 9672 6666","03 9600 1715","www.joneslanglasalle.com.au","","","Melbourne","00520000000zWmAAAU","2007-09-19T03:07:52.000Z","00520000000sqhLAAQ","2012-06-19T03:06:25.000Z","005D0000001bPy2IAE","2012-06-19T03:06:25.000Z","","","","","Leasing agent/tenant advocate;Project Manager","Property"
