,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,VisionClientID,EpicorCustomerID,ClientNumber,Name,Type,Status,WebSite,Memo,CurrentStatus,ClientInd,VendorInd,LinkedVendor,VisionClientAddressID,AddressDescription,Address2,Address3,Address4,City,State,Zip,Country,Phone,FAX,GoogleAddress,GooglePhone,googleExtras,googled
0,0,0,0,ADMIN486509637867,URSAUS40,50,URS Australia,,A,,,Existing,Y,N,,3F4D720C-72BB-4C6B-9274-B82F37390C9E,Default,70 Light Square,,,Adelaide,SA,5000,AU,,,"Address: 27, Westpac House, 91 King William St, Adelaide SA 5000",Phone:(08) 8366 1000, | See outside | URS Australia Pty Ltd | Engineering Consultant,True
1,1,1,1,ADMIN486509637868,SANOSL40,177,Santos Limited,,A,,,Existing,Y,N,,ACF1B7E8-1F90-474B-91AC-717B7191141F,Default,,,,Adelaide,SA,5001,AU,,,"Address: Ground, 60 Flinders Street, Adelaide SA 5000",Phone:(08) 8116 5000, | See outside | Santos | Corporate Office | 1 Google review | View 5+ | Origin Energy Power | Beach Energy | Westpac Branch/ATM,True
2,2,2,2,ADMIN486509637869,HANSEN40,351,Hansen Yuncken,,A,,,Existing,Y,N,,F0C7CDBC-FE60-4B78-A61B-1CBC6522182E,Default,,,,Adelaide,SA,,AU,419811128,,"Address: 1/191 Fullarton Road, Dulwich SA 5065",Phone:(08) 8229 7300, | See outside | Hansen Yuncken Pty Ltd. | Corporate Campus,True
3,3,3,3,ADMIN486509637870,HASSEL40,353,Hassell,,A,,,Existing,Y,N,,EA874787-F0F2-4E68-8CBE-0EE8D23ED5EE,Default,70 Hindmarsh Square,,,Adelaide,SA,5000,AU,,,"Address: 70 Hindmarsh Square, Adelaide SA 5000",Phone:(08) 8220 5000, | See outside | Hassell | Architect | Woods Bagot | The Royal Australian Institute of Architects | Hames Sharley,True
4,4,4,4,ADMIN486509637871,COMMER40,437,Commercial & General,,A,,,Existing,Y,N,,C1B73B11-0ADE-4098-8FA0-39F80CF73ADD,Default,,,,Adelaide,SA,,AU,882123339,,,,,True
5,5,5,5,ADMIN486509637872,PHILLI40,612,Barry Philis & Associates,,A,,,Existing,Y,N,,39B922AB-39CD-433F-9AFA-FD5BEC04FB04,Default,66 Wyatt Street,,,Adelaide,SA,5000,AU,419864502,,,,,True
6,6,6,6,ADMIN486509637873,ADELAI20,615,Adelaide Bank,,A,,,Existing,Y,N,,CFB07617-C5BA-49A2-B2CE-1EB69BA0361E,Default,,,,Adelaide,SA,5001,AU,,,,,,True
7,7,7,7,ADMIN486509637874,UNIADE20,678,University of Adelaide - IPAS,,A,,,Existing,Y,N,,3435F051-4648-4C0F-831C-A9966786C9A9,Default,11-19 Grenfell Street,,,Adelaide,SA,5000,AU,,,Address: Adelaide SA 5005,Phone:(08) 8313 5208, | See outside | The University of Adelaide | 4.6 | 63 Google reviews | University | Multi-disciplinary university with a number of oenology courses at the National Wine Centre. | 63 Google reviews | University of South Australia | University of Adelaide - Medical School | SATAC,True
8,8,8,8,ADMIN486509637875,BUILTE20,709,Built Environs,,A,,,Existing,Y,N,,239FA639-D2CE-4C2E-B4BA-3D9C13F7E2C7,Default,Hutt Street,,,Adelaide,SA,5000,AU,882321882,,"Address: 100 Hutt St, Adelaide SA 5000",Phone:(08) 8232 1882, | See outside | Built Environs Pty Ltd | Construction Company | Bonython Hall | Sarah Constructions PTY Ltd. | SATAC,True
9,9,9,9,ADMIN486509637876,PRIMES10,929,Prime Space Projects,,A,,,Existing,Y,N,,07854290-7657-45FB-A803-38C2FFA7F9B4,Default,150 Grenfell Street,,,Adelaide,SA,5000,AU,882236535,,"Address: 3/150 Grenfell St, Adelaide SA 5000",Phone:(08) 8223 6535, | See outside | Prime Space Projects PTY Ltd. | Property Management Company | Wilson Parking | Leedwell Property | CBRE,True
10,10,10,10,ADMIN486509637877,SANTO20,968,Santos,,A,,,Existing,Y,N,,44C27A8C-76A2-45AE-BEE0-206340919E2F,Default,,,,Adelaide,SA,,AU,,,"Address: Ground, 60 Flinders Street, Adelaide SA 5000",Phone:(08) 8116 5000, | See outside | Santos | Corporate Office | 1 Google review,True
11,11,11,11,ADMIN486509637878,ORIGIN20,1194,Origin Energy,,A,,,Existing,Y,N,,203E62C1-E4DD-4353-8BD3-5EA002C8A24B,Default,,,,Adelaide,SA,,AU,,,,,,True
12,12,12,12,ADMIN486509637879,SWANBU20,1218,Swanbury Penglase,,A,,,Existing,Y,N,,A16091F2-65E8-4D44-87D5-2235C6279EA7,Default,,,,Adelaide,SA,5000,AU,,,"Address: 244 Gilbert St, Adelaide SA 5000",Phone:(08) 8212 2679, | See outside | Swanbury Penglase Architects | Architect | Hours: Open today  8:30 am  5:30 pm | Williams Burton Architects | Woods Bagot | C4 Architects Pty Ltd,True
13,13,13,13,ADMIN486509637880,SHARPE10,185,Sharpe Development Group Pty Ltd,,A,,,Existing,Y,N,,9B2FA623-20F6-40CC-A250-39A298A7F3C0,Default,,,,Airlie Beach,QLD,4802,AU,,,,,,True
14,14,14,14,ADMIN486509637881,HOBSON10,806,Grant Hobson Consulting,,A,,,Existing,Y,N,,1CF1F0CA-BB17-44E2-A747-CFFADB43DBD0,Default,,,,Albert Park,,3206,AU,437472682,,,,,True
15,15,15,15,ADMIN486509637882,CATWOR10,478,Catalyst Works,,A,,,Existing,Y,N,,F63D8CC2-6053-4687-A5F3-D969251B6EBF,Default,,,,Albion,,4010,AU,,,,,,True
16,16,16,16,ADMIN486509637883,CTRAPP10,654,Colin Trapp & Associates Pty L,,A,,,Existing,Y,N,,F0494D7F-9A2E-4BA6-8C56-8A5CCDCB7803,Default,,,,Albion,,4010,AU,,,"Address: 349 Sandgate Rd, Albion QLD 4010",Phone:(07) 3862 3555, | See outside | Trapp Colin & Associates PTY LTD | Architect,True
17,17,17,17,ADMIN486509637884,RNAASS10,1068,RNA,,A,,,Existing,Y,N,,1CD632D8-9BAB-4865-8096-F4112B0B4E52,Default,,,,Albion,,4010,AU,732533968,,,,,True
18,18,18,18,ADMIN486509637885,JOSSCO20,975,Joss Constructions,,A,,,Existing,Y,N,,244C7194-4305-43B9-9C46-8CE78DADB72B,Default,,,,Albury,NSW,2640,AU,260511900,,"Address: 215 East St, Albury NSW 2640",Phone:(02) 6051 1900, | See outside | Joss Distribution | Cleaning Service | View 5+ | Programmed Maintenance | Yellow Pages | Cleaner N' Cleaner,True
19,19,19,19,ADMIN486509637886,FUGENG20,363,Fugen Group,,A,,,Existing,Y,N,,8B2DD220-FB90-4145-9635-DD25D86811E6,Default,,,,Alexandria,,1435,AU,295505344,295164067,"Address: 9-13 Underwood Ave, Botany NSW 2019",Phone:(02) 9289 3700, | See outside | Fugen Holdings | Bricklayers | Peter THE Builder PTY Ltd. | Mirvac | Landmark Masonry,True
20,20,20,20,ADMIN486509637887,INFINI20,820,Infinity Construction Group,,A,,,Existing,Y,N,,F6307550-CA53-485F-A90C-E77AEE51BEAE,Default,290 Botany Road,,,Alexandria,,2015,AU,,,"Address: 290 Botany Rd, Alexandria NSW 2015",Phone:(02) 9332 4722, | See outside | Infinity Constructions Group Pty Ltd | Builder | Hours: Open today  8:00 am  6:00 pm | 1 Google review | Kane Constructions | Waterway Constructions | Taylor Group's,True
21,21,21,21,ADMIN486509637888,PEACEO20,906,Peace of Mind Technology,,A,,,Existing,Y,N,,CF969981-276D-463A-BC2B-B3EA556232A7,Default,,,,Alexandria,,1435,AU,1300 660 610,1300 826 011,"Address: 2/10 Bond St, Sydney NSW 2000",Phone:1300 660 610, | Peace of Mind Technology | Business Management Consultant | Hours: Open today  7:00 am  6:00 pm,True
22,22,22,22,ADMIN486509637889,KANECO,1224,KANECO,,A,,,Existing,Y,N,,AFB299F4-2FC3-45E8-9AD4-9C2A318660E2,Default,,,,Alexandria,,,AU,,,,,,True
23,23,23,23,ADMIN486509637890,BORNST10,1031,Josh & Tali Bornstein,,A,,,Existing,Y,N,,6E7174B9-65FF-4E1B-AB00-F635BFBBD44A,Default,,,,Alphington,,3078,AU,,,,," | See results about | Josh (2000 film) | Initial release: June 9, 2000 (India) | Director: Mansoor Khan",True
24,24,24,24,ADMIN486509637891,HOBSON40,669,Hobson Bay City Council,,A,,,Existing,Y,N,,663FC39C-A7F7-41EA-B73D-C98CA76DB274,Default,,,,Altona,,3018,AU,399321087,,"Address: 115 Civic Parade, Altona VIC 3018",Phone: (03) 9932 1000," | City of Hobsons Bay | Australian local government area | The City of Hobsons Bay is a local government area in Melbourne, Victoria, Australia. It comprises the south-western suburbs between 6 and 20 km from the Melbourne city centre. Wikipedia | Area: 65 km | Founded: June 1994 | Council seat: Altona | Region: Melbourne | Federal divisions: Division of Gellibrand, Division of Lalor | Brimbank City Council | Hobsons Bay Library | Yarraville Oval",True
25,25,25,25,ADMIN486509637892,ANNECY20,811,Annecy 2018 Candidate City,,A,,,Existing,Y,N,,09ED670B-7EBF-4E86-8736-64E8D5A8FBF6,Default,,,,Annecy,,,AU,33450334993,,,,,True
